"","dist_year","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other"
"335","10587_2013-14","0","0","0",2,"0","0",0
"336","10587_2014-15","0","0","0",2,"0","0",NA
"337","10587_2015-16","0","0","0",2,"0","0",NA
"338","10587_2016-17","0","0","0",2,"0","0",0
"339","31609_2011-12","*","*","0",2,"0","0",NA
"340","31609_2012-13","*","*","0",2,"0","0",NA
"341","31609_2013-14","*","*","0",2,"0","0",NA
"342","31609_2014-15","*","0","0",2,"0","0",NA
"343","31609_2015-16","*","*","0",2,"0","0",NA
"344","31609_2016-17","*","*","0",2,"0","0",NA
"345","31617_2011-12","0","0","0",2,"0","0",0
"346","31617_2012-13","0","0","0",2,"0","0",NA
"347","31617_2013-14","0","0","0",2,"0","0",0
"348","31617_2014-15","0","0","0",2,"0","0",NA
"349","31617_2015-16","0","0","0",2,"0","0",0
"350","31617_2016-17","0","0","0",2,"0","0",0
"351","31625_2011-12","*","0","0",2,"0","0",NA
"352","31625_2012-13","0","0","0",2,"0","0",NA
"353","31625_2013-14","*","0","0",2,"0","0",NA
"354","31625_2014-15","*","0","0",2,"0","0",NA
"355","31625_2015-16","*","0","0",2,"0","0",NA
"356","31625_2016-17","*","0","0",2,"0","0",NA
"357","32276_2011-12","*","0","0",2,"0","0",0
"358","32276_2011-12","*","0","0",2,"0","0",0
"359","32276_2011-12","*","0","0",2,"0","0",0
"360","32276_2011-12","*","0","0",2,"0","0",0
"361","32276_2011-12","0","0","*",2,"0","0",0
"362","32276_2011-12","0","0","*",2,"0","0",0
"363","32276_2011-12","0","0","*",2,"0","0",0
"364","32276_2011-12","0","0","*",2,"0","0",0
"365","32276_2011-12","0","0","0",2,"0","0",0
"366","32276_2011-12","0","0","0",2,"0","0",0
"367","32276_2011-12","0","0","0",2,"0","0",0
"368","32276_2011-12","0","0","0",2,"0","0",0
"369","32276_2011-12","0","0","0",2,"0","0",0
"370","32276_2011-12","0","0","0",2,"0","0",0
"371","32276_2011-12","0","0","0",2,"0","0",0
"372","32276_2011-12","0","0","0",2,"0","0",0
"373","32276_2011-12","0","0","0",2,"0","0",0
"374","32276_2011-12","0","0","0",2,"0","0",0
"375","32276_2011-12","0","0","0",2,"0","0",0
"376","32276_2011-12","0","0","0",2,"0","0",0
"377","32276_2011-12","*","0","0",2,"0","0",0
"378","32276_2011-12","*","0","0",2,"0","0",0
"379","32276_2011-12","*","0","0",2,"0","0",0
"380","32276_2011-12","*","0","0",2,"0","0",0
"381","32276_2011-12","0","0","*",2,"0","0",0
"382","32276_2011-12","0","0","*",2,"0","0",0
"383","32276_2011-12","0","0","*",2,"0","0",0
"384","32276_2011-12","0","0","*",2,"0","0",0
"385","32276_2011-12","0","0","0",2,"0","0",0
"386","32276_2011-12","0","0","0",2,"0","0",0
"387","32276_2011-12","0","0","0",2,"0","0",0
"388","32276_2011-12","0","0","0",2,"0","0",0
"389","32276_2011-12","*","0","*",2,"0","0",0
"390","32276_2011-12","*","0","*",2,"0","0",0
"391","32276_2011-12","*","0","*",2,"0","0",0
"392","32276_2011-12","*","0","*",2,"0","0",0
"393","32276_2011-12","*","0","0",2,"0","0",0
"394","32276_2011-12","*","0","0",2,"0","0",0
"395","32276_2011-12","*","0","0",2,"0","0",0
"396","32276_2011-12","*","0","0",2,"0","0",0
"397","32276_2011-12","*","0","0",2,"0","0",0
"398","32276_2011-12","*","0","0",2,"0","0",0
"399","32276_2011-12","*","0","0",2,"0","0",0
"400","32276_2011-12","*","0","0",2,"0","0",0
"401","32276_2011-12","*","0","0",2,"0","0",0
"402","32276_2011-12","*","0","0",2,"0","0",0
"403","32276_2011-12","*","0","0",2,"0","0",0
"404","32276_2011-12","*","0","0",2,"0","0",0
"405","32276_2011-12","*","0","*",2,"0","0",0
"406","32276_2011-12","*","0","*",2,"0","0",0
"407","32276_2011-12","*","0","*",2,"0","0",0
"408","32276_2011-12","*","0","*",2,"0","0",0
"409","32276_2011-12","*","0","0",2,"0","0",0
"410","32276_2011-12","*","0","0",2,"0","0",0
"411","32276_2011-12","*","0","0",2,"0","0",0
"412","32276_2011-12","*","0","0",2,"0","0",0
"413","32276_2011-12","*","0","*",2,"0","0",0
"414","32276_2011-12","*","0","*",2,"0","0",0
"415","32276_2011-12","*","0","*",2,"0","0",0
"416","32276_2011-12","*","0","*",2,"0","0",0
"417","32276_2011-12","0","0","0",2,"0","0",0
"418","32276_2011-12","0","0","0",2,"0","0",0
"419","32276_2011-12","0","0","0",2,"0","0",0
"420","32276_2011-12","0","0","0",2,"0","0",0
"421","32276_2011-12","*","0","0",2,"0","0",0
"422","32276_2011-12","*","0","0",2,"0","0",0
"423","32276_2011-12","*","0","0",2,"0","0",0
"424","32276_2011-12","*","0","0",2,"0","0",0
"425","32276_2011-12","*","0","*",2,"0","0",0
"426","32276_2011-12","*","0","*",2,"0","0",0
"427","32276_2011-12","*","0","*",2,"0","0",0
"428","32276_2011-12","*","0","*",2,"0","0",0
"429","32276_2011-12","*","0","0",2,"0","0",0
"430","32276_2011-12","*","0","0",2,"0","0",0
"431","32276_2011-12","*","0","0",2,"0","0",0
"432","32276_2011-12","*","0","0",2,"0","0",0
"433","32276_2011-12","*","0","*",2,"0","0",0
"434","32276_2011-12","*","0","*",2,"0","0",0
"435","32276_2011-12","*","0","*",2,"0","0",0
"436","32276_2011-12","*","0","*",2,"0","0",0
"437","32276_2011-12","*","0","0",2,"0","0",0
"438","32276_2011-12","*","0","0",2,"0","0",0
"439","32276_2011-12","*","0","0",2,"0","0",0
"440","32276_2011-12","*","0","0",2,"0","0",0
"441","32276_2011-12","*","0","*",2,"0","0",0
"442","32276_2011-12","*","0","*",2,"0","0",0
"443","32276_2011-12","*","0","*",2,"0","0",0
"444","32276_2011-12","*","0","*",2,"0","0",0
"445","32276_2011-12","*","0","*",2,"0","0",0
"446","32276_2011-12","*","0","*",2,"0","0",0
"447","32276_2011-12","*","0","*",2,"0","0",0
"448","32276_2011-12","*","0","*",2,"0","0",0
"449","32276_2011-12","0","0","0",2,"0","0",0
"450","32276_2011-12","0","0","0",2,"0","0",0
"451","32276_2011-12","0","0","0",2,"0","0",0
"452","32276_2011-12","0","0","0",2,"0","0",0
"453","32276_2011-12","*","0","0",2,"0","0",0
"454","32276_2011-12","*","0","0",2,"0","0",0
"455","32276_2011-12","*","0","0",2,"0","0",0
"456","32276_2011-12","*","0","0",2,"0","0",0
"457","32276_2011-12","*","0","*",2,"0","0",0
"458","32276_2011-12","*","0","*",2,"0","0",0
"459","32276_2011-12","*","0","*",2,"0","0",0
"460","32276_2011-12","*","0","*",2,"0","0",0
"461","32276_2011-12","0","0","0",2,"0","0",0
"462","32276_2011-12","0","0","0",2,"0","0",0
"463","32276_2011-12","0","0","0",2,"0","0",0
"464","32276_2011-12","0","0","0",2,"0","0",0
"465","32276_2011-12","*","0","*",2,"0","0",0
"466","32276_2011-12","*","0","*",2,"0","0",0
"467","32276_2011-12","*","0","*",2,"0","0",0
"468","32276_2011-12","*","0","*",2,"0","0",0
"469","32276_2011-12","0","0","*",2,"0","0",0
"470","32276_2011-12","0","0","*",2,"0","0",0
"471","32276_2011-12","0","0","*",2,"0","0",0
"472","32276_2011-12","0","0","*",2,"0","0",0
"473","32276_2011-12","0","0","*",2,"0","0",0
"474","32276_2011-12","0","0","*",2,"0","0",0
