"","dist_year","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"1697","68346_2011-12","San Diego",313,88,"15","13",108,"255",10,1825,130,1624,8669,237,6054,6431
"1698","68346_2016-17","San Diego",368,97,"21","8",89,"329",18,2107,98,1730,8485,531,6273,6678
"1699","68353_2011-12","San Diego",4,10,"0","2",10,"1",0,4,4,31,74,8,73,48
"1700","68361_2011-12","San Diego",557,141,"8","27",171,"427",65,21,25,379,918,175,729,789
"1701","68361_2012-13","San Diego",548,138,"8","30",143,"418",87,18,21,392,859,198,717,771
"1702","68361_2013-14","San Diego",610,135,"2","13",186,"449",95,19,17,349,796,172,669,684
"1703","68361_2014-15","San Diego",539,101,"4","29",160,"380",67,24,20,361,762,187,658,696
"1704","68361_2015-16","San Diego",550,113,"7","29",196,"350",81,28,16,381,764,187,685,691
"1705","68361_2016-17","San Diego",435,116,"2","14",166,"292",77,25,17,385,734,193,671,683
"1706","68379_2011-12","San Diego",3,3,"0","0",5,"1",0,9,27,1086,25,59,576,630
"1707","68379_2012-13","San Diego",52,10,"0","1",61,"0",0,7,32,1024,25,51,549,590
"1708","68379_2013-14","San Diego",111,22,"0","3",129,"0",1,6,31,1050,20,53,552,608
"1709","68379_2014-15","San Diego",153,35,"0","3",182,"1",2,4,23,968,18,45,487,571
"1710","68379_2015-16","San Diego",84,16,"0","3",94,"1",2,8,26,926,21,48,503,526
"1711","68379_2016-17","San Diego",198,29,"1","6",209,"7",4,9,24,935,17,56,502,539
"1712","68387_2011-12","San Diego",20,3,"0","0",5,"17",1,0,0,0,0,0,0,0
"1713","68387_2012-13","San Diego",22,0,"2","1",2,"17",0,0,0,0,0,0,0,0
"1714","68387_2013-14","San Diego",21,3,"2","1",4,"17",0,0,0,0,0,0,0,0
"1715","68387_2014-15","San Diego",8,3,"2","0",3,"5",1,0,0,0,0,0,0,0
"1716","68387_2015-16","San Diego",6,1,"1","0",2,"4",0,0,0,0,0,0,0,0
"1717","68387_2016-17","San Diego",12,4,"3","0",9,"1",3,0,0,0,0,0,0,0
"1718","68395_2011-12","San Diego",215,24,"2","17",174,"35",11,0,2,99,5,2,67,41
"1719","68395_2012-13","San Diego",223,63,"1","19",189,"62",14,5,3,138,30,4,89,91
"1720","68395_2013-14","San Diego",188,25,"1","9",163,"22",18,6,8,162,46,7,115,114
"1721","68395_2014-15","San Diego",115,24,"0","8",116,"8",7,2,5,172,55,13,143,104
"1722","68395_2015-16","San Diego",93,14,"0","3",85,"9",10,1,7,169,57,16,140,110
"1723","68395_2016-17","San Diego",88,12,"0","2",78,"7",13,1,10,177,46,12,132,114
"1724","68403_2011-12","San Diego",0,0,"0","0",0,"0",0,58,140,282,895,204,839,740
"1725","68403_2012-13","San Diego",0,0,"0","0",0,"0",0,83,158,360,1132,172,1030,875
"1726","68403_2013-14","San Diego",0,0,"0","0",0,"0",0,67,151,458,1014,113,962,841
"1727","68403_2014-15","San Diego",0,0,"0","0",0,"0",0,81,179,526,968,102,1051,805
"1728","68403_2015-16","San Diego",0,0,"0","0",0,"0",0,48,126,502,760,220,921,735
"1729","68403_2016-17","San Diego",0,0,"0","0",0,"0",0,48,119,459,645,186,804,653
"1730","68411_2011-12","San Diego",3243,1072,"13","272",3429,"294",307,695,1344,30171,3387,5022,19426,21193
"1731","68411_2012-13","San Diego",3217,1097,"14","273",3483,"268",276,696,1318,30437,3188,5122,19479,21282
"1732","68411_2013-14","San Diego",2560,792,"15","211",2691,"197",238,579,1153,30697,2591,5465,19482,21003
"1733","68411_2014-15","San Diego",2435,767,"16","153",2641,"158",234,571,1136,30860,2438,5413,19486,20932
"1734","68411_2015-16","San Diego",2007,630,"31","166",2129,"128",183,563,1101,30864,2346,5443,19450,20867
"1735","68411_2016-17","San Diego",1755,571,"11","125",1897,"112",181,552,1048,30539,2289,5424,19300,20552
"1736","68437_2013-14","San Diego",4,1,"*","0",4,"1",0,2,10,86,59,1,89,69
"1737","68437_2016-17","San Diego",5,0,"*","*",5,"0",0,1,2,105,52,7,101,66
"1738","68452_2011-12","San Diego",2855,678,"24","297",2373,"675",164,351,786,7290,3959,792,6431,6747
"1739","68452_2012-13","San Diego",2515,751,"18","228",2336,"578",106,347,735,7413,3882,835,6465,6747
"1740","68452_2013-14","San Diego",1728,432,"9","58",1533,"424",136,341,562,7493,3607,894,6325,6572
"1741","68452_2014-15","San Diego",1494,318,"5","51",1353,"313",90,323,531,7480,3425,890,6192,6457
"1742","68452_2015-16","San Diego",1256,354,"5","104",1120,"286",95,289,496,7507,3244,907,6048,6395
"1743","68452_2016-17","San Diego",1291,415,"4","73",1159,"356",114,287,496,7586,3159,926,6041,6413
"1744","68478_2011-12","San Francisco",1711,793,"211","1132",808,"122",231,11442,2829,5902,2234,3265,12277,13395
"1745","68478_2012-13","San Francisco",1505,699,"145","1071",591,"120",277,10799,2834,6267,2280,3748,12170,13758
"1746","68478_2013-14","San Francisco",1051,496,"65","715",513,"84",170,10630,2882,6871,2521,3449,12331,14022
"1747","68478_2014-15","San Francisco",1175,518,"82","687",599,"98",227,10233,2997,7739,2692,3396,12597,14460
"1748","68478_2015-16","San Francisco",956,442,"77","606",446,"87",182,10012,2906,8295,2809,3418,12798,14642
"1749","68478_2016-17","San Francisco",1259,557,"123","726",586,"113",268,9833,3029,8921,3093,3694,13227,15343
"1750","68486_2013-14","San Joaquin",33,3,"0","2",11,"21",2,0,1,39,22,1,29,34
"1751","68486_2014-15","San Joaquin",37,2,"0","1",14,"20",4,6,4,68,34,12,55,69
"1752","68486_2015-16","San Joaquin",31,3,"2","2",20,"9",1,26,10,94,54,18,93,109
"1753","68502_2011-12","San Joaquin",226,40,"2","5",135,"106",15,29,16,605,736,37,702,721
"1754","68502_2012-13","San Joaquin",174,34,"0","6",115,"81",5,29,14,611,673,37,689,675
"1755","68502_2013-14","San Joaquin",169,42,"0","6",98,"99",6,28,10,590,668,42,651,687
"1756","68502_2014-15","San Joaquin",185,30,"2","7",113,"83",10,23,11,626,646,41,663,684
"1757","68502_2015-16","San Joaquin",221,50,"6","2",140,"116",4,21,7,621,621,46,635,681
"1758","68502_2016-17","San Joaquin",188,99,"2","1",167,"109",8,23,5,631,598,34,637,654
"1759","68544_2011-12","San Joaquin",44,7,"0","9",13,"24",5,92,62,178,252,59,321,322
"1760","68544_2012-13","San Joaquin",93,26,"7","10",47,"50",4,92,36,189,238,62,304,313
"1761","68544_2013-14","San Joaquin",83,23,"6","10",50,"33",6,77,37,194,225,61,299,295
"1762","68544_2014-15","San Joaquin",72,26,"6","18",35,"35",4,66,39,208,211,62,284,302
"1763","68544_2015-16","San Joaquin",103,28,"6","9",61,"34",21,65,41,207,197,62,301,271
"1764","68544_2016-17","San Joaquin",96,23,"5","7",48,"44",14,80,36,198,220,57,306,285
"1765","68569_2011-12","San Joaquin",1147,384,"70","372",612,"361",116,434,509,1571,1396,391,2125,2176
"1766","68569_2012-13","San Joaquin",1166,463,"58","447",636,"387",101,432,502,1693,1396,390,2229,2184
"1767","68569_2013-14","San Joaquin",1079,335,"69","403",530,"322",90,415,531,1807,1347,405,2282,2223
"1768","68569_2014-15","San Joaquin",810,264,"44","310",413,"230",77,435,560,1910,1261,419,2278,2307
"1769","68569_2015-16","San Joaquin",858,249,"54","311",414,"254",74,431,532,1979,1205,414,2256,2305
"1770","68569_2016-17","San Joaquin",924,261,"41","327",479,"241",97,430,559,2074,1150,404,2287,2330
"1771","68577_2011-12","San Joaquin",313,85,"3","9",224,"143",18,30,6,530,522,44,567,565
"1772","68577_2012-13","San Joaquin",141,16,"3","3",72,"74",5,29,9,536,518,43,552,583
"1773","68577_2013-14","San Joaquin",146,22,"0","1",96,"60",11,26,7,542,488,45,535,573
"1774","68577_2014-15","San Joaquin",203,53,"3","8",146,"86",5,23,8,574,436,40,513,568
"1775","68577_2015-16","San Joaquin",152,38,"3","7",106,"61",10,25,10,598,391,39,517,546
"1776","68577_2016-17","San Joaquin",113,40,"6","6",91,"45",5,23,7,604,351,35,480,540
"1777","68585_2011-12","San Joaquin",4264,1319,"516","1337",2207,"1155",368,2358,1095,5341,4013,1145,6761,7191
"1778","68585_2012-13","San Joaquin",4047,1302,"449","1417",2091,"1026",366,2312,1050,5439,3875,1099,6593,7182
"1779","68585_2013-14","San Joaquin",3605,1098,"322","1170",1998,"928",285,2283,1071,5610,3700,1103,6621,7146
"1780","68585_2014-15","San Joaquin",2552,824,"243","930",1310,"674",219,2283,1035,5695,3566,1161,6601,7139
"1781","68585_2015-16","San Joaquin",2544,664,"222","828",1248,"663",247,2283,975,5737,3489,1198,6554,7128
"1782","68585_2016-17","San Joaquin",2085,630,"232","648",1093,"525",217,2428,990,5881,3379,1256,6745,7189
"1783","68593_2011-12","San Joaquin",3411,1215,"107","1003",2071,"1165",280,741,1012,5071,2958,1108,5256,5634
"1784","68593_2013-14","San Joaquin",2601,851,"90","911",1534,"710",207,810,1017,5436,2660,1068,5346,5645
"1785","68593_2014-15","San Joaquin",3724,1664,"175","1088",2741,"1081",302,884,965,5552,2501,1037,5327,5612
"1786","68593_2015-16","San Joaquin",3384,1542,"156","867",2591,"976",336,922,927,5692,2380,1065,5297,5689
"1787","68593_2016-17","San Joaquin",1995,723,"84","564",1306,"566",198,941,885,5828,2296,1129,5318,5761
"1788","68627_2011-12","San Joaquin",22,15,"0","6",6,"21",4,19,58,224,258,25,288,296
"1789","68627_2012-13","San Joaquin",59,35,"2","12",22,"44",14,77,267,469,731,186,927,803
"1790","68627_2013-14","San Joaquin",38,16,"3","9",14,"24",4,93,277,595,840,153,1024,934
"1791","68627_2014-15","San Joaquin",70,36,"4","14",52,"31",5,111,311,757,986,211,1244,1132
"1792","68627_2015-16","San Joaquin",149,47,"4","46",66,"57",23,143,263,886,969,249,1337,1173
"1793","68627_2016-17","San Joaquin",88,33,"1","15",65,"34",6,164,282,993,822,273,1294,1240
"1794","68635_2015-16","San Joaquin",17,0,"*","*",4,"0",12,2,0,31,42,8,47,36
"1795","68650_2013-14","San Joaquin",356,97,"1","12",218,"210",12,45,50,545,967,107,833,881
"1796","68650_2014-15","San Joaquin",178,51,"3","5",95,"116",10,51,61,583,1005,147,960,887
"1797","68676_2011-12","San Joaquin",4362,1081,"142","1812",2404,"547",538,1546,2039,9255,1468,1934,8008,8234
"1798","68676_2012-13","San Joaquin",7667,2359,"393","2927",4842,"898",966,1710,1902,9284,1212,1684,7842,7950
"1799","68676_2013-14","San Joaquin",7685,2254,"335","2766",5038,"972",828,1642,1854,9611,1139,1693,7878,8061
"1800","68676_2014-15","San Joaquin",7306,1979,"386","2761",4498,"865",775,1627,1868,9849,1119,1655,7952,8166
"1801","68676_2015-16","San Joaquin",6850,2098,"336","2715",4460,"728",709,1611,1823,10138,1098,1632,8000,8302
"1802","68676_2016-17","San Joaquin",4952,1643,"255","2107",3155,"532",546,1628,1873,10637,1049,1610,8307,8490
"1803","68700_2011-12","San Luis Obispo",320,89,"1","7",147,"236",17,28,48,528,1609,109,1151,1171
"1804","68700_2012-13","San Luis Obispo",269,43,"3","7",114,"162",24,27,39,550,1518,108,1108,1134
"1805","68700_2013-14","San Luis Obispo",216,51,"0","11",98,"138",19,25,31,557,1458,117,1070,1118
"1806","68700_2014-15","San Luis Obispo",167,51,"0","10",72,"125",11,33,38,573,1445,101,1041,1149
"1807","68700_2015-16","San Luis Obispo",261,82,"0","12",131,"188",12,35,40,620,1429,104,1086,1142
"1808","68700_2016-17","San Luis Obispo",249,52,"2","13",102,"171",13,38,38,631,1402,104,1068,1145
"1809","68759_2011-12","San Luis Obispo",722,217,"2","11",411,"484",31,88,53,1965,2915,182,2574,2629
"1810","68759_2012-13","San Luis Obispo",607,200,"2","15",356,"389",45,93,45,1965,2896,199,2552,2646
"1811","68759_2013-14","San Luis Obispo",367,108,"2","15",212,"233",13,95,48,2049,2799,202,2537,2656
"1812","68759_2014-15","San Luis Obispo",418,133,"8","9",270,"242",22,91,41,2071,2747,229,2535,2644
"1813","68759_2015-16","San Luis Obispo",420,114,"0","2",236,"274",22,95,44,2047,2736,227,2506,2643
"1814","68759_2016-17","San Luis Obispo",402,112,"6","5",266,"215",22,101,41,2074,2668,249,2456,2677
"1815","68809_2011-12","San Luis Obispo",369,144,"2","21",169,"280",38,117,54,782,2252,203,1642,1766
"1816","68809_2012-13","San Luis Obispo",393,146,"7","26",183,"295",27,131,49,822,2234,221,1671,1786
"1817","68809_2013-14","San Luis Obispo",378,145,"7","16",232,"243",25,134,42,828,2137,233,1680,1694
"1818","68809_2014-15","San Luis Obispo",450,177,"5","28",285,"281",28,141,45,835,2164,246,1694,1737
"1819","68809_2015-16","San Luis Obispo",271,56,"3","17",139,"140",28,136,39,864,2111,264,1654,1760
"1820","68809_2016-17","San Luis Obispo",205,49,"7","2",93,"136",16,140,37,911,2118,237,1704,1739
"1821","68825_2012-13","San Luis Obispo",70,16,"*","*",35,"43",5,0,0,57,39,5,52,49
"1822","68825_2013-14","San Luis Obispo",90,21,"*","0",48,"57",6,0,1,62,52,7,61,61
"1823","68825_2014-15","San Luis Obispo",82,15,"*","*",46,"50",1,1,1,62,57,3,53,71
"1824","68825_2015-16","San Luis Obispo",63,12,"*","*",44,"29",2,1,0,79,68,3,63,88
"1825","68825_2016-17","San Luis Obispo",29,14,"*","*",22,"20",1,0,0,88,69,3,73,87
"1826","68841_2011-12","San Luis Obispo",58,24,"0","0",15,"61",6,15,8,202,915,65,624,581
"1827","68841_2012-13","San Luis Obispo",91,48,"0","1",42,"88",8,17,8,226,883,65,620,579
"1828","68841_2013-14","San Luis Obispo",88,18,"2","0",35,"59",10,21,6,245,870,83,640,585
"1829","68841_2014-15","San Luis Obispo",85,20,"0","0",37,"62",6,21,7,248,885,77,641,597
"1830","68841_2015-16","San Luis Obispo",74,17,"0","0",23,"62",6,17,7,218,870,76,585,603
"1831","68841_2016-17","San Luis Obispo",95,26,"0","1",32,"81",7,18,8,226,846,70,567,601
"1832","68858_2011-12","San Mateo",0,0,"0","0",0,"0",0,19,15,42,25,56,74,83
"1833","68866_2011-12","San Mateo",110,9,"10","4",28,"67",9,160,18,69,349,36,304,328
"1834","68866_2012-13","San Mateo",102,12,"10","4",23,"69",8,180,20,72,386,55,336,377
"1835","68866_2013-14","San Mateo",80,12,"6","10",19,"47",10,187,15,87,376,61,350,376
"1836","68866_2014-15","San Mateo",88,12,"17","12",13,"44",14,173,11,90,378,71,344,379
"1837","68866_2015-16","San Mateo",90,15,"13","10",17,"55",10,180,14,85,421,85,365,420
"1838","68866_2016-17","San Mateo",105,17,"7","4",32,"65",14,217,16,98,438,99,415,453
"1839","68874_2011-12","San Mateo",0,0,"0","0",0,"0",0,19,5,33,32,33,54,68
"1840","68874_2014-15","San Mateo",15,1,"4","0",7,"2",3,22,2,38,24,17,45,58
"1841","68882_2011-12","San Mateo",50,6,"1","2",19,"26",8,115,6,92,314,49,281,295
"1842","68882_2012-13","San Mateo",33,6,"0","0",21,"16",2,130,1,116,308,51,307,299
"1843","68882_2013-14","San Mateo",19,1,"3","0",6,"8",3,130,3,121,312,68,316,318
"1844","68882_2014-15","San Mateo",17,1,"0","0",9,"8",0,135,3,114,332,76,322,338
"1845","68882_2015-16","San Mateo",39,3,"6","0",14,"18",2,134,2,98,337,107,326,352
"1846","68882_2016-17","San Mateo",20,3,"1","0",6,"13",3,132,3,87,348,109,321,358
"1847","68890_2011-12","San Mateo",309,77,"0","3",286,"93",4,38,7,676,716,59,727,769
"1848","68890_2012-13","San Mateo",224,48,"0","0",198,"67",4,35,7,689,737,56,737,787
"1849","68890_2013-14","San Mateo",142,50,"0","0",132,"53",2,25,7,692,734,67,750,775
"1850","68890_2014-15","San Mateo",87,14,"0","2",66,"30",3,22,7,727,706,67,743,786
"1851","68890_2015-16","San Mateo",136,47,"4","1",127,"48",1,29,9,759,705,80,756,826
"1852","68890_2016-17","San Mateo",76,31,"2","0",57,"46",2,26,8,777,673,75,754,805
"1853","68908_2011-12","San Mateo",24,0,"4","*",0,"19",1,94,0,7,226,13,175,165
"1854","68908_2014-15","San Mateo",12,2,"1","*",0,"9",2,104,2,11,228,12,173,184
"1855","68908_2015-16","San Mateo",13,0,"0","*",1,"12",0,91,1,9,239,21,173,188
"1856","68916_2011-12","San Mateo",397,66,"30","72",189,"48",124,262,159,578,420,726,1046,1099
"1857","68916_2012-13","San Mateo",303,112,"33","76",168,"34",104,269,102,492,355,666,954,930
"1858","68916_2013-14","San Mateo",272,65,"22","66",125,"31",93,251,87,552,340,696,942,984
"1859","68916_2014-15","San Mateo",240,78,"32","32",109,"54",91,245,74,559,346,660,935,949
"1860","68916_2015-16","San Mateo",225,52,"16","24",138,"32",67,259,62,598,325,687,969,962
"1861","68916_2016-17","San Mateo",219,57,"14","28",145,"10",79,249,57,601,303,725,998,937
"1862","68924_2011-12","San Mateo",545,163,"17","82",318,"97",194,674,167,1392,813,1923,2372,2597
"1863","68924_2012-13","San Mateo",290,122,"9","37",167,"58",141,652,133,1397,719,1969,2337,2533
"1864","68924_2013-14","San Mateo",434,179,"28","62",275,"108",140,672,126,1351,684,1931,2280,2484
"1865","68924_2014-15","San Mateo",485,160,"22","57",286,"108",172,710,122,1406,718,1950,2358,2548
"1866","68924_2015-16","San Mateo",332,119,"26","41",203,"66",115,728,116,1390,731,1961,2301,2625
"1867","68924_2016-17","San Mateo",384,94,"22","27",227,"70",132,718,99,1367,750,1928,2254,2608
"1868","68957_2011-12","San Mateo",0,0,"0","0",0,"0",0,28,4,29,186,17,131,133
"1869","68957_2012-13","San Mateo",3,1,"0","0",0,"3",1,40,2,20,195,16,119,154
"1870","68957_2013-14","San Mateo",9,2,"0","4",3,"4",0,37,1,26,212,4,124,156
"1871","68957_2014-15","San Mateo",15,1,"1","0",1,"8",6,27,4,32,184,34,135,146
"1872","68957_2015-16","San Mateo",10,1,"3","1",3,"4",0,38,3,36,168,30,139,136
"1873","68965_2011-12","San Mateo",3,1,"0","2",2,"0",0,22,13,62,317,52,212,254
"1874","68965_2016-17","San Mateo",3,3,"0","1",2,"3",0,55,9,98,403,70,316,319
"1875","68973_2011-12","San Mateo",40,6,"8","0",13,"15",9,256,10,111,122,73,285,287
"1876","68973_2013-14","San Mateo",16,2,"1","0",2,"7",8,269,9,113,114,103,297,311
"1877","68973_2014-15","San Mateo",39,1,"2","2",16,"8",12,257,8,122,120,108,289,326
"1878","68973_2015-16","San Mateo",31,11,"5","1",18,"12",6,224,3,128,127,95,280,297
"1879","68973_2016-17","San Mateo",14,1,"6","0",5,"2",2,238,6,108,121,77,280,270
"1880","68999_2011-12","San Mateo",478,144,"2","125",394,"4",89,12,121,847,6,118,554,550
"1881","68999_2012-13","San Mateo",358,130,"2","118",307,"1",60,8,80,678,3,91,424,436
"1882","68999_2013-14","San Mateo",230,71,"0","55",215,"4",27,4,68,685,3,90,419,431
"1883","68999_2014-15","San Mateo",192,57,"2","26",182,"9",30,5,81,851,6,97,489,551
"1884","68999_2015-16","San Mateo",248,70,"1","43",243,"1",30,4,83,842,6,87,494,528
"1885","68999_2016-17","San Mateo",392,100,"13","45",363,"9",62,5,74,786,4,82,423,528
"1886","69005_2011-12","San Mateo",730,181,"8","24",748,"93",38,48,30,1261,411,86,931,905
"1887","69005_2012-13","San Mateo",540,128,"2","28",559,"58",21,53,33,1370,400,73,975,954
"1888","69005_2013-14","San Mateo",506,100,"4","22",495,"59",26,57,28,1371,359,73,924,964
"1889","69005_2014-15","San Mateo",427,88,"4","15",424,"42",30,49,27,1365,359,67,900,967
"1890","69005_2015-16","San Mateo",272,35,"0","5",257,"26",19,41,26,1445,386,76,962,1012
"1891","69005_2016-17","San Mateo",179,25,"0","6",160,"33",5,50,27,1411,394,90,937,1035
"1892","69013_2011-12","San Mateo",78,13,"7","9",39,"21",10,36,16,208,131,86,214,263
"1893","69013_2012-13","San Mateo",36,14,"2","3",28,"9",2,43,9,260,128,101,237,304
"1894","69013_2013-14","San Mateo",39,5,"3","*",19,"9",9,61,7,258,127,119,253,319
"1895","69013_2014-15","San Mateo",75,40,"2","4",75,"18",14,57,7,266,117,140,282,305
"1896","69013_2015-16","San Mateo",83,23,"2","13",54,"16",16,53,7,266,117,132,288,287
"1897","69013_2016-17","San Mateo",63,8,"0","7",31,"12",21,67,11,212,118,128,263,273
"1898","69021_2011-12","San Mateo",52,5,"5","9",14,"28",1,67,10,121,473,29,324,376
"1899","69021_2012-13","San Mateo",47,2,"5","5",5,"29",5,46,1,114,439,79,306,373
"1900","69021_2013-14","San Mateo",34,12,"3","3",10,"21",8,43,2,99,427,83,311,343
"1901","69021_2014-15","San Mateo",57,2,"2","9",3,"37",8,58,4,109,447,82,358,342
"1902","69021_2015-16","San Mateo",31,10,"1","6",5,"17",12,68,2,105,463,96,375,359
"1903","69021_2016-17","San Mateo",64,9,"5","7",12,"41",8,71,7,120,468,102,380,388
"1904","69039_2011-12","San Mateo",555,141,"46","49",358,"147",96,442,49,727,675,269,972,1190
"1905","69039_2012-13","San Mateo",248,66,"17","15",156,"87",39,464,51,730,661,270,1028,1148
"1906","69039_2013-14","San Mateo",209,50,"14","18",134,"65",28,488,67,737,647,280,1046,1173
"1907","69039_2014-15","San Mateo",184,36,"20","10",121,"44",25,469,48,787,617,320,1089,1152
"1908","69039_2015-16","San Mateo",243,48,"6","18",170,"57",40,538,28,832,665,309,1169,1203
"1909","69039_2016-17","San Mateo",223,50,"18","7",155,"61",32,575,21,816,716,320,1209,1239
"1910","69047_2011-12","San Mateo",1028,348,"90","58",737,"277",214,1780,130,2443,2494,1400,4103,4144
"1911","69047_2012-13","San Mateo",654,230,"53","45",468,"183",130,1837,105,2405,2455,1442,4006,4238
"1912","69047_2013-14","San Mateo",468,137,"36","29",279,"176",85,1777,94,2396,2475,1421,3975,4188
"1913","69047_2014-15","San Mateo",309,65,"21","24",190,"85",49,1832,100,2516,2482,1391,4042,4279
"1914","69047_2015-16","San Mateo",337,107,"19","16",227,"112",70,1931,86,2589,2530,1490,4146,4480
"1915","69047_2016-17","San Mateo",401,106,"36","4",263,"104",100,1976,87,2847,2634,1560,4390,4714
"1916","69062_2011-12","San Mateo",969,304,"15","134",829,"150",145,532,353,4095,3115,852,4394,4553
"1917","69062_2012-13","San Mateo",867,335,"16","121",804,"155",106,561,316,4311,3355,704,4576,4671
"1918","69062_2013-14","San Mateo",681,276,"5","52",735,"84",81,511,262,4594,3101,925,4614,4779
"1919","69062_2014-15","San Mateo",415,221,"5","59",450,"49",73,606,262,4600,3321,904,4765,4928
"1920","69062_2015-16","San Mateo",631,259,"2","76",647,"87",78,655,251,4572,3391,893,4797,4965
"1921","69062_2016-17","San Mateo",680,268,"7","59",691,"108",83,718,255,4578,3515,845,4868,5043
"1922","69070_2011-12","San Mateo",951,263,"15","91",755,"88",265,428,105,1936,349,1663,2099,2382
"1923","69070_2012-13","San Mateo",787,241,"22","56",681,"64",205,431,92,1953,337,1627,2121,2319
"1924","69070_2013-14","San Mateo",678,130,"16","67",539,"56",130,434,91,1982,324,1604,2126,2309
"1925","69070_2014-15","San Mateo",606,213,"19","38",533,"59",170,407,76,1945,324,1523,2042,2233
"1926","69070_2015-16","San Mateo",504,233,"20","27",501,"48",141,401,58,1930,297,1502,2035,2153
"1927","69070_2016-17","San Mateo",697,351,"24","75",698,"71",180,439,66,1923,285,1459,2043,2129
"1928","69112_2011-12","Santa Barbara",13,1,"0","0",3,"10",1,1,5,83,183,12,154,130
"1929","69112_2012-13","Santa Barbara",7,0,"0","0",2,"5",0,4,8,87,181,18,150,148
"1930","69112_2014-15","Santa Barbara",3,0,"0","0",1,"2",0,5,10,101,221,14,168,183
"1931","69112_2015-16","Santa Barbara",7,0,"0","0",5,"1",1,2,4,128,308,36,262,216
"1932","69112_2016-17","Santa Barbara",2,6,"0","0",3,"4",1,3,6,137,287,38,259,212
"1933","69120_2012-13","Santa Barbara",995,254,"0","21",1118,"80",30,11,35,2689,122,85,1414,1528
"1934","69120_2013-14","Santa Barbara",1240,283,"3","30",1409,"62",19,18,22,2716,105,61,1439,1483
"1935","69120_2014-15","Santa Barbara",1244,295,"11","32",1439,"39",18,22,23,2683,107,71,1458,1448
"1936","69120_2016-17","Santa Barbara",754,301,"1","12",981,"42",19,22,19,3091,114,73,1635,1684
"1937","69138_2013-14","Santa Barbara",15,1,"*","*",5,"11",0,1,0,62,60,7,65,65
"1938","69146_2012-13","Santa Barbara",193,23,"2","7",162,"42",3,23,13,774,245,19,529,545
"1939","69146_2016-17","Santa Barbara",155,14,"0","*",136,"31",2,12,5,731,225,26,487,512
"1940","69195_2013-14","Santa Barbara",47,10,"0","1",37,"14",5,0,0,0,0,0,0,0
"1941","69195_2014-15","Santa Barbara",13,4,"0","1",13,"2",1,0,0,0,0,0,0,0
"1942","69195_2016-17","Santa Barbara",42,2,"0","3",35,"6",0,0,0,0,0,0,0,0
"1943","69211_2011-12","Santa Barbara",11,6,"0","0",10,"7",0,0,0,0,0,0,0,0
"1944","69211_2012-13","Santa Barbara",5,0,"0","*",3,"2",0,0,0,0,0,0,0,0
"1945","69229_2011-12","Santa Barbara",1002,285,"8","100",840,"249",90,106,183,2513,1326,357,2151,2334
"1946","69229_2012-13","Santa Barbara",723,248,"1","76",625,"225",43,93,176,2531,1265,327,2113,2279
"1947","69229_2013-14","Santa Barbara",767,256,"4","84",721,"177",37,97,167,2564,1249,331,2159,2249
"1948","69229_2014-15","Santa Barbara",673,185,"0","48",621,"143",46,102,164,2649,1169,323,2135,2272
"1949","69229_2015-16","Santa Barbara",815,339,"6","68",830,"209",41,84,165,2770,1190,297,2193,2313
"1950","69245_2011-12","Santa Barbara",0,0,"*","*",0,"0",0,5,5,128,198,31,195,172
"1951","69245_2014-15","Santa Barbara",0,0,"*","*",0,"0",0,2,2,118,173,21,190,126
"1952","69260_2011-12","Santa Barbara",289,59,"2","5",121,"195",25,36,25,596,839,90,777,809
"1953","69260_2012-13","Santa Barbara",228,52,"0","10",107,"145",18,42,31,604,832,96,792,813
"1954","69260_2013-14","Santa Barbara",187,43,"4","17",99,"95",15,57,33,637,852,92,814,857
"1955","69260_2014-15","Santa Barbara",152,20,"2","7",69,"77",17,58,22,647,842,114,817,866
"1956","69260_2015-16","Santa Barbara",181,47,"2","3",99,"112",12,48,13,669,826,114,828,842
"1957","69260_2016-17","Santa Barbara",195,40,"0","3",110,"110",12,47,14,700,827,140,875,853
"1958","69310_2011-12","Santa Barbara",1017,290,"6","24",1054,"172",50,76,66,5957,1104,430,3645,3988
"1959","69310_2012-13","Santa Barbara",828,171,"1","24",849,"90",35,78,68,6128,997,365,3647,3989
"1960","69310_2013-14","Santa Barbara",822,220,"5","29",902,"92",14,66,80,6306,915,353,3701,4019
"1961","69310_2014-15","Santa Barbara",711,193,"3","34",760,"84",23,72,101,6411,878,320,3745,4037
"1962","69310_2015-16","Santa Barbara",396,142,"2","15",449,"58",14,78,95,6590,830,307,3844,4056
"1963","69310_2016-17","Santa Barbara",412,155,"0","9",493,"45",20,70,80,6599,780,329,3825,4033
"1964","69369_2011-12","Santa Clara",771,177,"24","36",850,"17",21,299,59,2031,59,200,1243,1405
"1965","69369_2012-13","Santa Clara",616,130,"21","43",624,"30",28,334,61,2098,51,197,1306,1435
"1966","69369_2013-14","Santa Clara",342,82,"10","20",368,"14",12,324,58,2213,57,181,1387,1446
"1967","69369_2014-15","Santa Clara",528,126,"15","37",553,"10",37,340,55,2266,57,189,1379,1528
"1968","69369_2015-16","Santa Clara",509,142,"14","23",561,"16",37,364,48,2210,54,191,1348,1519
