"","dist_year","Expulsion_Female","Expulsion_Male","Expulsion_Total","Expulsion_Asian","Expulsion_Black","Expulsion_Hispanic","Expulsion_White","Expulsion_Other"
"313","64634_2011-12",4,7,11,0,6,5,0,0
"314","64642_2011-12",1,9,10,NA,1,9,0,NA
"315","64659_2011-12",0,0,0,0,0,0,0,NA
"316","64667_2011-12",3,17,20,0,7,12,1,0
"317","64683_2011-12",0,0,0,0,0,0,0,0
"318","64691_2011-12",1,1,2,0,0,2,0,NA
"319","64709_2011-12",0,1,1,0,0,1,0,NA
"320","64717_2011-12",0,0,0,0,0,0,0,0
"321","64725_2011-12",4,10,14,1,5,6,2,0
"322","64733_2011-12",19,133,152,3,25,89,30,5
"323","64758_2011-12",0,0,0,NA,NA,0,0,NA
"324","64766_2011-12",0,0,0,0,0,0,0,NA
"325","64774_2011-12",0,0,0,0,0,0,0,NA
"326","64790_2011-12",3,3,6,0,1,3,2,0
"327","64808_2011-12",0,1,1,0,0,1,0,0
"328","64816_2011-12",8,7,15,0,0,15,0,NA
"329","64832_2011-12",0,0,0,0,0,0,0,NA
"330","64840_2011-12",1,15,16,0,2,13,0,1
"331","64857_2011-12",28,69,97,0,48,40,5,4
"332","64865_2011-12",0,3,3,3,0,0,0,0
"333","64873_2011-12",2,6,8,0,2,5,0,NA
"334","64881_2011-12",2,2,4,0,0,3,1,0
"335","64907_2011-12",44,221,265,2,24,229,7,3
"336","64931_2011-12",0,0,0,0,0,0,0,NA
"337","64964_2011-12",0,0,0,0,0,0,0,NA
"338","64980_2011-12",1,3,4,0,0,4,0,0
"339","64998_2011-12",0,2,2,0,0,1,1,NA
"340","65029_2011-12",1,3,4,1,1,1,1,NA
"341","65037_2011-12",0,0,0,0,0,0,0,NA
"342","65045_2011-12",0,0,0,0,0,0,0,0
"343","65052_2011-12",0,2,2,0,0,2,0,NA
"344","65060_2011-12",3,19,22,3,0,12,4,3
"345","65078_2011-12",0,4,4,0,NA,4,0,NA
"346","65094_2011-12",2,12,14,0,1,12,0,1
"347","65102_2011-12",6,13,19,0,4,8,7,0
"348","65110_2011-12",1,3,4,0,0,3,1,NA
"349","65128_2011-12",0,0,0,0,0,0,0,NA
"350","65136_2011-12",11,68,79,1,4,49,22,3
"351","65151_2011-12",0,1,1,NA,0,1,0,NA
"352","65169_2011-12",0,0,0,0,0,0,0,NA
"353","65177_2011-12",0,0,0,NA,NA,0,0,NA
"354","65185_2011-12",0,0,0,0,NA,0,0,NA
"355","65193_2011-12",1,6,7,0,0,5,2,NA
"356","65201_2011-12",1,0,1,0,0,1,0,NA
"357","65243_2011-12",22,104,126,0,8,106,9,3
"358","65276_2011-12",0,0,0,0,NA,0,0,NA
"359","65300_2011-12",0,0,0,NA,NA,0,0,NA
"360","65318_2011-12",0,0,0,0,0,0,0,NA
"361","65334_2011-12",0,0,0,0,NA,0,0,NA
"362","65342_2011-12",NA,NA,0,0,0,0,0,NA
"363","65359_2011-12",0,0,0,0,NA,0,0,NA
"364","65367_2011-12",0,0,0,0,0,0,0,NA
"365","65375_2011-12",NA,NA,0,0,0,NA,NA,0
"366","65391_2011-12",0,0,0,0,0,0,0,NA
"367","65409_2011-12",0,0,0,NA,0,NA,0,NA
"368","65417_2011-12",2,8,10,1,1,4,1,3
"369","65425_2011-12",0,0,0,0,0,0,0,NA
"370","65433_2011-12",0,0,0,NA,NA,0,0,NA
