"","dist_year","Expulsion_Females","Expulsion_Males","Expulsion_Other","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic"
"255","32276_2011-12","0","0",0,"0","0","0","0"
"256","32276_2011-12","0","0",0,"0","0","0","0"
"257","32276_2011-12","0","0",0,"0","0","0","0"
"258","32276_2011-12","0","0",0,"0","0","*","0"
"259","32276_2011-12","0","0",0,"0","0","*","0"
"260","32276_2011-12","0","0",0,"0","0","*","0"
"261","32276_2011-12","0","0",0,"0","0","*","0"
"262","32276_2011-12","0","0",0,"0","0","*","0"
"263","32276_2011-12","0","0",0,"0","0","*","0"
"264","32276_2011-12","0","0",0,"0","0","*","0"
"265","32276_2011-12","0","0",0,"0","0","*","0"
"266","32276_2011-12","0","0",0,"0","0","0","0"
"267","32276_2011-12","0","0",0,"0","0","0","0"
"268","32276_2011-12","0","0",0,"0","0","0","0"
"269","32276_2011-12","0","0",0,"0","0","0","0"
"270","32276_2011-12","0","0",0,"0","0","0","0"
"271","32276_2011-12","0","0",0,"0","0","0","0"
"272","32276_2011-12","0","0",0,"0","0","0","0"
"273","32276_2011-12","0","0",0,"0","0","0","0"
"274","32276_2011-12","0","0",0,"0","0","*","0"
"275","32276_2011-12","0","0",0,"0","0","*","0"
"276","32276_2011-12","0","0",0,"0","0","*","0"
"277","32276_2011-12","0","0",0,"0","0","*","0"
"278","32276_2011-12","0","0",0,"0","0","*","0"
"279","32276_2011-12","0","0",0,"0","0","*","0"
"280","32276_2011-12","0","0",0,"0","0","*","0"
"281","32276_2011-12","0","0",0,"0","0","*","0"
"282","32276_2011-12","0","0",0,"0","0","0","0"
"283","32276_2011-12","0","0",0,"0","0","0","0"
"284","32276_2011-12","0","0",0,"0","0","0","0"
"285","32276_2011-12","0","0",0,"0","0","0","0"
"286","32276_2011-12","0","0",0,"0","0","0","0"
"287","32276_2011-12","0","0",0,"0","0","0","0"
"288","32276_2011-12","0","0",0,"0","0","0","0"
"289","32276_2011-12","0","0",0,"0","0","0","0"
"290","32276_2011-12","0","0",0,"*","0","*","0"
"291","32276_2011-12","0","0",0,"*","0","*","0"
"292","32276_2011-12","0","0",0,"*","0","*","0"
"293","32276_2011-12","0","0",0,"*","0","*","0"
"294","32276_2011-12","0","0",0,"*","0","*","0"
"295","32276_2011-12","0","0",0,"*","0","*","0"
"296","32276_2011-12","0","0",0,"*","0","*","0"
"297","32276_2011-12","0","0",0,"*","0","*","0"
"298","32276_2011-12","0","0",0,"*","0","0","0"
"299","32276_2011-12","0","0",0,"*","0","0","0"
"300","32276_2011-12","0","0",0,"*","0","0","0"
"301","32276_2011-12","0","0",0,"*","0","0","0"
"302","32276_2011-12","0","0",0,"*","0","0","0"
"303","32276_2011-12","0","0",0,"*","0","0","0"
"304","32276_2011-12","0","0",0,"*","0","0","0"
"305","32276_2011-12","0","0",0,"*","0","0","0"
"306","32276_2011-12","0","0",0,"*","0","*","0"
"307","32276_2011-12","0","0",0,"*","0","*","0"
"308","32276_2011-12","0","0",0,"*","0","*","0"
"309","32276_2011-12","0","0",0,"*","0","*","0"
"310","32276_2011-12","0","0",0,"*","0","*","0"
"311","32276_2011-12","0","0",0,"*","0","*","0"
"312","32276_2011-12","0","0",0,"*","0","*","0"
"313","32276_2011-12","0","0",0,"*","0","*","0"
"314","32276_2011-12","0","0",0,"*","0","0","0"
"315","32276_2011-12","0","0",0,"*","0","0","0"
"316","32276_2011-12","0","0",0,"*","0","0","0"
"317","32276_2011-12","0","0",0,"*","0","0","0"
"318","32276_2011-12","0","0",0,"*","0","0","0"
"319","32276_2011-12","0","0",0,"*","0","0","0"
"320","32276_2011-12","0","0",0,"*","0","0","0"
"321","32276_2011-12","0","0",0,"*","0","0","0"
"322","32276_2011-12","0","0",0,"*","0","*","0"
"323","32276_2011-12","0","0",0,"*","0","*","0"
"324","32276_2011-12","0","0",0,"*","0","*","0"
"325","32276_2011-12","0","0",0,"*","0","*","0"
"326","32276_2011-12","0","0",0,"*","0","*","0"
"327","32276_2011-12","0","0",0,"*","0","*","0"
"328","32276_2011-12","0","0",0,"*","0","*","0"
"329","32276_2011-12","0","0",0,"*","0","*","0"
"330","32276_2011-12","0","0",0,"*","0","0","0"
"331","32276_2011-12","0","0",0,"*","0","0","0"
"332","32276_2011-12","0","0",0,"*","0","0","0"
"333","32276_2011-12","0","0",0,"*","0","0","0"
"334","32276_2011-12","0","0",0,"*","0","0","0"
"335","32276_2011-12","0","0",0,"*","0","0","0"
"336","32276_2011-12","0","0",0,"*","0","0","0"
"337","32276_2011-12","0","0",0,"*","0","0","0"
"338","32276_2011-12","0","0",0,"*","0","*","0"
"339","32276_2011-12","0","0",0,"*","0","*","0"
"340","32276_2011-12","0","0",0,"*","0","*","0"
"341","32276_2011-12","0","0",0,"*","0","*","0"
"342","32276_2011-12","0","0",0,"*","0","*","0"
"343","32276_2011-12","0","0",0,"*","0","*","0"
"344","32276_2011-12","0","0",0,"*","0","*","0"
"345","32276_2011-12","0","0",0,"*","0","*","0"
"346","32276_2011-12","0","0",0,"*","0","0","0"
"347","32276_2011-12","0","0",0,"*","0","0","0"
"348","32276_2011-12","0","0",0,"*","0","0","0"
"349","32276_2011-12","0","0",0,"*","0","0","0"
"350","32276_2011-12","0","0",0,"*","0","0","0"
"351","32276_2011-12","0","0",0,"*","0","0","0"
"352","32276_2011-12","0","0",0,"*","0","0","0"
"353","32276_2011-12","0","0",0,"*","0","0","0"
"354","32276_2011-12","0","0",0,"*","0","*","0"
"355","32276_2011-12","0","0",0,"*","0","*","0"
"356","32276_2011-12","0","0",0,"*","0","*","0"
"357","32276_2011-12","0","0",0,"*","0","*","0"
"358","32276_2011-12","0","0",0,"*","0","*","0"
"359","32276_2011-12","0","0",0,"*","0","*","0"
"360","32276_2011-12","0","0",0,"*","0","*","0"
"361","32276_2011-12","0","0",0,"*","0","*","0"
"362","32276_2011-12","0","0",0,"*","0","0","0"
"363","32276_2011-12","0","0",0,"*","0","0","0"
"364","32276_2011-12","0","0",0,"*","0","0","0"
"365","32276_2011-12","0","0",0,"*","0","0","0"
"366","32276_2011-12","0","0",0,"*","0","0","0"
"367","32276_2011-12","0","0",0,"*","0","0","0"
"368","32276_2011-12","0","0",0,"*","0","0","0"
"369","32276_2011-12","0","0",0,"*","0","0","0"
"370","32276_2011-12","0","0",0,"*","0","*","0"
"371","32276_2011-12","0","0",0,"*","0","*","0"
"372","32276_2011-12","0","0",0,"*","0","*","0"
"373","32276_2011-12","0","0",0,"*","0","*","0"
"374","32276_2011-12","0","0",0,"*","0","*","0"
"375","32276_2011-12","0","0",0,"*","0","*","0"
"376","32276_2011-12","0","0",0,"*","0","*","0"
"377","32276_2011-12","0","0",0,"*","0","*","0"
"378","32276_2011-12","0","0",0,"*","0","0","0"
"379","32276_2011-12","0","0",0,"*","0","0","0"
"380","32276_2011-12","0","0",0,"*","0","0","0"
"381","32276_2011-12","0","0",0,"*","0","0","0"
"382","32276_2011-12","0","0",0,"*","0","0","0"
"383","32276_2011-12","0","0",0,"*","0","0","0"
