"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male","do_asian","do_black","do_hisp","do_white","do_other","do_female","do_male","EnglishLearner","FreeReduced","Foster","ucCsu_asian","ucCsu_black","ucCsu_hisp","ucCsu_white","ucCsu_other","ucCsu_female","ucCsu_male","Expulsion_Asian","Expulsion_Black","Expulsion_White","Expulsion_Hispanic","Expulsions_Males","Expulsions_Females","Expulsion_Other","County","Male.Suspensions","Female.Suspensions","AsianSuspensions","BlackSuspensions","HispanicSuspensions","WhiteSuspensoins","OtherSuspensions","ucCsu_total","do_total","exp_tot","sus_tot","enroll_tot"
"81","70540_2015-16",550,1711,3693,1751,1937,4697,4945,3,36,61,26,30,47,109,7618,20840,184,51,54,124,102,161,287,205,"1","19","4",17,32,15,6,"Solano",2209,1082,"32","1304",1156,"448",351,492,156,47,3291,9642
"82","70540_2016-17",544,1690,3834,1694,1855,4649,4968,3,21,60,15,8,42,65,6775,23016,129,46,61,143,102,134,288,198,"0","11","3",15,21,10,2,"Solano",1902,804,"22","1082",1000,"355",247,486,107,31,2706,9617
"83","70730_2014-15",9,8,89,184,10,158,142,0,0,1,1,0,1,1,488,2071,2,0,0,1,5,0,5,1,"0","0","0",0,0,0,0,"Sonoma",4,2,"0","0",0,"6",0,6,2,0,6,300
"84","70730_2015-16",10,7,94,177,29,190,127,0,0,0,0,1,0,1,378,1954,0,0,0,1,1,0,2,0,"0","0","0",0,0,0,0,"Sonoma",3,0,"0","0",0,"3",0,2,1,0,3,317
"85","70920_2013-14",574,291,4885,4448,850,5476,5572,6,9,152,73,21,111,150,2596,12612,55,58,8,110,334,35,305,240,"1","1","0",1,3,0,0,"Sonoma",1101,503,"16","63",1012,"358",155,545,261,3,1604,11048
"86","70920_2014-15",573,267,5018,4383,865,5544,5562,1,10,142,69,24,101,145,3479,13433,90,36,11,117,308,30,297,205,"0","0","1",9,10,1,1,"Sonoma",1259,473,"18","67",1079,"380",188,502,246,11,1732,11106
"87","70920_2015-16",596,236,5181,4227,916,5537,5619,5,9,114,71,29,99,129,2836,10948,99,45,6,139,267,36,264,229,"0","0","3",10,12,3,2,"Sonoma",1195,527,"21","43",1085,"391",182,493,228,15,1722,11156
"88","70920_2016-17",615,249,5347,4008,904,5540,5583,3,9,126,47,24,82,127,3895,8824,77,60,9,117,265,41,301,191,"1","2","6",12,21,5,5,"Sonoma",1144,465,"21","74",937,"407",170,492,209,26,1609,11123
"89","71860_2014-15",12,2,1629,32,72,887,860,0,0,22,0,0,8,14,2205,8092,10,1,0,76,2,6,56,29,"0","*","0",3,3,0,0,"Tulare",528,107,"14","*",596,"18",5,85,22,3,635,1747
"90","72140_2015-16",6,8,404,118,16,276,276,0,2,69,20,5,43,53,1225,1154,6,0,0,0,0,0,0,0,"0","0","0",0,0,0,0,"Tulare",0,0,"0","0",0,"0",0,0,96,0,0,552
