"","dist_year","enroll_asian","enroll_black","enroll_hisp","enroll_white","enroll_other","enroll_female","enroll_male"
"214","10439_2012-13",577,164,1891,695,311,1511,2127
"215","10439_2013-14",610,155,1979,684,399,1634,2193
"216","10439_2014-15",689,139,2076,698,444,1723,2323
"217","10439_2015-16",636,151,2092,686,324,1700,2189
"218","10439_2016-17",666,137,2068,603,301,1698,2077
"219","10447_2011-12",36,18,356,571,134,492,623
"220","10447_2012-13",46,19,530,625,130,603,747
"221","10447_2013-14",42,13,459,591,208,619,694
"222","10447_2014-15",31,12,444,635,128,613,637
"223","10447_2015-16",31,17,475,689,107,603,716
"224","10447_2016-17",30,13,460,682,80,601,664
"225","10454_2011-12",1,21,33,182,22,77,182
"226","10454_2012-13",3,18,40,175,25,92,169
"227","10454_2013-14",2,16,37,154,24,77,156
"228","10454_2014-15",2,9,30,157,29,81,146
"229","10454_2015-16",2,1,40,192,31,94,172
"230","10454_2016-17",4,3,35,152,29,93,130
"231","10470_2011-12",1,5,23,153,33,103,112
"232","10470_2012-13",3,3,31,158,36,107,124
"233","10470_2013-14",2,4,30,155,34,104,121
"234","10470_2014-15",2,6,32,179,33,119,133
"235","10470_2015-16",2,4,40,177,45,113,155
"236","10470_2016-17",1,2,49,202,49,144,159
"237","10488_2011-12",9,83,125,109,58,113,271
"238","10488_2012-13",11,93,120,98,63,116,269
"239","10488_2013-14",11,86,102,97,61,113,244
"240","10488_2014-15",10,84,93,100,53,107,233
"241","10488_2015-16",13,86,117,99,47,104,258
"242","10488_2016-17",12,66,109,97,50,108,226
"243","10496_2011-12",16,28,269,325,37,222,453
"244","10496_2012-13",12,31,298,332,47,215,505
"245","10496_2013-14",7,33,300,315,41,205,491
"246","10496_2014-15",10,33,262,237,31,169,404
"247","10496_2015-16",4,21,206,204,22,143,314
"248","10496_2016-17",5,23,197,159,26,134,276
"249","10504_2011-12",34,89,708,454,87,470,902
"250","10504_2012-13",35,77,720,480,71,469,914
"251","10504_2013-14",20,87,729,490,67,502,891
"252","10504_2014-15",35,67,767,436,74,566,813
"253","10504_2015-16",37,82,750,472,88,622,807
"254","10504_2016-17",29,73,827,471,87,701,786
"255","10512_2011-12",21,10,119,121,13,83,201
"256","10512_2012-13",21,13,97,120,13,75,189
"257","10512_2013-14",15,10,104,128,16,84,189
"258","10512_2014-15",9,10,101,124,19,64,199
"259","10512_2015-16",8,9,114,116,20,78,189
"260","10512_2016-17",9,8,109,110,25,77,184
"261","10520_2015-16",1,1,24,104,10,78,62
"262","10546_2011-12",26,38,803,298,97,460,802
"263","10546_2012-13",25,35,815,302,115,496,796
"264","10546_2013-14",26,33,868,402,35,552,812
"265","10546_2014-15",33,48,912,442,47,592,890
"266","10546_2015-16",32,45,950,460,48,628,907
"267","10546_2016-17",29,38,902,450,47,610,856
"268","10553_2015-16",1,0,11,53,10,27,48
"269","10561_2011-12",23,25,802,412,35,562,735
"270","10561_2012-13",23,27,726,419,47,538,704
"271","10561_2013-14",17,31,977,461,51,692,845
"272","10561_2014-15",16,28,1019,502,53,773,845
"273","10561_2015-16",20,23,1014,527,74,814,844
"274","10561_2016-17",18,27,1027,556,71,781,918
"275","10579_2011-12",3,7,145,112,7,96,178
"276","10579_2012-13",4,7,149,101,7,95,173
"277","10579_2013-14",3,12,134,94,6,90,159
"278","10579_2014-15",5,5,86,47,5,51,97
"279","10579_2015-16",6,5,92,76,5,57,127
